Protein IDs	Gene names	Ensembl ID	TPM.T1.BR1	TPM.T1.BR2	TPM.T1.BR3	TPM.T1.BR4	TPM.T2.BR1	TPM.T2.BR2	TPM.T2.BR3	TPM.T2.BR4	TPM.MZ.BR1	TPM.MZ.BR2	TPM.MZ.BR3	TPM.MZ.BR4	TPM.FoB.BR1	TPM.FoB.BR2	TPM.FoB.BR3	TPM.FoB.BR4	Copy.number.T1.BR1	Copy.number.T1.BR2	Copy.number.T1.BR3	Copy.number.T1.BR4	Copy.number.T2.BR1	Copy.number.T2.BR2	Copy.number.T2.BR3	Copy.number.T2.BR4	Copy.number.MZ.BR1	Copy.number.MZ.BR2	Copy.number.MZ.BR3	Copy.number.MZ.BR4	Copy.number.FoB.BR1	Copy.number.FoB.BR2	Copy.number.FoB.BR3	Copy.number.FoB.BR4
Q9ER88	Dap3	ENSMUSG00000068921	56.436075	67.10798	53.565595	58.772035	77.273454	69.446451	77.050203	81.885141	68.982744	82.536394	79.158273	77.549638	69.870599	77.814767	69.036089	72.01127	8273.44	6798.55	11666.7	18441	8475.26	7930.09	14414.3	14443.9	24121.1	13235.1	34358.5	23218.4	7935.8	4483.95	21421.4	12375.1
O54784	Dapk3	ENSMUSG00000034974	100.659097	98.958955	122.184587	105.211511	97.808839	108.689821	125.414804	97.797006	80.060518	85.627626	109.628748	75.684877	108.860895	110.793283	117.594583	86.709184	1270.27	1206.84	1711.66	1520.81	2261.64	2174.17	3014.35	2773.83	5708.27	1293.3	4578.9	1305.17	1807.63	927.529	3267.25	1503.02
Q9QXT1	Dapp1	ENSMUSG00000028159	82.116945	95.365816	97.949792	98.840486	96.112825	98.906549	99.089159	96.681764	104.636316	109.897707	117.962381	101.227914	101.637445	94.493105	102.461595	93.463754	2884.12	1185.61	3948.27	6846.52	4100.67	2710.31	7162.16	3994.45	10448.2	2628.28	8169.7	5991.09	2309.66	925.668	6709.87	5321.25
Q922B2	Dars	ENSMUSG00000026356	69.255365	80.559068	76.351343	79.60988	93.968408	101.290788	89.947954	97.835092	138.24003	134.636865	122.2548	132.144434	99.674951	91.181451	94.442506	96.28528	173402	139135	191675	348302	154268	151939	206538	160779	441114	272324	510157	403844	145842	86264.5	280380	199708
Q8BIP0	Dars2	ENSMUSG00000026709	12.352341	13.471577	10.522394	12.711275	15.171781	16.297773	15.909849	16.248523	20.878982	19.927852	17.273279	21.038847	14.922257	12.963318	13.90652	13.442697	3342.92	2708.48	2911.39	8991.74	2591.8	2348.71	5120.38	3212.46	12625.3	4417.94	16668	9589.66	835.652	161.31	4337.22	2105.32
O35613	Daxx	ENSMUSG00000002307	59.088659	66.425371	79.8547	76.289041	61.174261	68.107637	92.125681	72.324258	48.923597	49.70957	69.746675	44.736253	66.621843	72.75519	94.540285	67.732759	2545.19	1928.36	4358.25	5100.28	3433.79	3542.47	5814.54	5727.36	6925.99	4089.04	9375.12	6943.73	3175.08	2028.98	6015.53	6503.33
Q9JII5-2	Dazap1	ENSMUSG00000069565	56.786775	64.663522	58.57345	60.129942	73.52778	81.986795	116.753999	78.087022	72.922807	69.450784	63.85338	65.983423	77.137804	84.92312	81.44713	81.786256	39001.7	29633.3	45686.7	70930.2	49433.1	47197	59369.2	49858.8	107723	62668.4	139795	84720.2	52325.8	38057.2	129700	79804.7
P31786	Dbi	ENSMUSG00000026385	70.870546	73.173051	83.314813	68.824518	97.080659	94.620729	99.814806	94.505579	92.007883	104.219827	77.31257	111.05713	88.376985	91.611276	82.700906	107.484468	80594.7	96501	72024	134072	89797	88819.2	103755	216646	338354	144387	226503	177634	107881	69697.7	114985	39382.3
Q62418	Dbnl	ENSMUSG00000020476	503.156915	603.099023	520.358911	580.72793	435.557062	470.810815	449.689172	462.968073	305.510553	298.024042	314.765955	284.131891	362.698022	397.533075	356.677332	353.506738	117724	107946	114929	220833	150638	151562	183147	135398	267641	133859	216278	206011	124543	92671.1	172762	172864
Q923B1	Dbr1	ENSMUSG00000032469	22.541963	28.155141	27.652866	25.108465	28.905115	23.719429	32.882879	25.897285	27.201213	34.146314	35.448248	29.581731	34.027612	30.287569	33.441343	29.378114	5030.44	4144.71	7076.54	11743.5	4910.23	6503.7	12127.6	11044.7	16533.1	9050.05	26077.3	20633.9	9070.94	5199.94	16752.3	13855.2
P53395	Dbt	ENSMUSG00000000340	10.641568	14.306587	13.169357	14.007368	12.916247	13.12832	11.556071	13.094172	15.7125	14.211467	14.910643	14.14812	12.126301	12.924919	13.200879	11.47482	12192.3	8233.72	16397.3	23604.4	17311.3	13881	25206.7	16453.9	63868.1	30783.4	66686.3	56535.1	16086	7940.32	41124	30085.6
Q91VU6	Dcaf11	ENSMUSG00000022214	127.030565	145.870065	127.030664	147.031427	135.569666	126.119844	146.98472	130.94375	116.112978	109.286241	120.415353	103.052629	120.463823	128.092981	129.48652	119.424142	1121.85	1088.47	1951.74	3409.62	3716.98	1987.8	3728.63	2776.21	10429.4	4544.02	8450.6	7905.77	2607.76	1757.52	7370.11	4631.88
